(256, 256)
Generation: 0, avg fitness : 9.58
Generation: 100, avg fitness : 17.52
Generation: 200, avg fitness : 17.94
Generation: 300, avg fitness : 18.36
Generation: 400, avg fitness : 18.58
Generation: 500, avg fitness : 18.76
Generation: 600, avg fitness : 19.10
Generation: 700, avg fitness : 19.22
Generation: 800, avg fitness : 19.35
Generation: 900, avg fitness : 19.39
Generation: 1000, avg fitness : 19.47
Generation: 1100, avg fitness : 19.52
Generation: 1200, avg fitness : 19.63
Generation: 1300, avg fitness : 19.66
Generation: 1400, avg fitness : 19.85
Generation: 1500, avg fitness : 19.98
Generation: 1600, avg fitness : 20.14
Generation: 1700, avg fitness : 20.20
Generation: 1800, avg fitness : 20.26
Generation: 1900, avg fitness : 20.38
Generation: 2000, avg fitness : 20.46
Generation: 2100, avg fitness : 20.51
Generation: 2200, avg fitness : 20.63
Generation: 2300, avg fitness : 20.65
Generation: 2400, avg fitness : 20.83
Generation: 2500, avg fitness : 20.88
Generation: 2600, avg fitness : 20.91
Generation: 2700, avg fitness : 21.00
Generation: 2800, avg fitness : 21.06
Generation: 2900, avg fitness : 21.05
Generation: 3000, avg fitness : 21.12
Generation: 3100, avg fitness : 21.17
Generation: 3200, avg fitness : 21.28
Generation: 3300, avg fitness : 21.32
Generation: 3400, avg fitness : 21.37
Generation: 3500, avg fitness : 21.39
Generation: 3600, avg fitness : 21.48
Generation: 3700, avg fitness : 21.48
Generation: 3800, avg fitness : 21.55
Generation: 3900, avg fitness : 21.58
Generation: 4000, avg fitness : 21.66
Generation: 4100, avg fitness : 21.67
Generation: 4200, avg fitness : 21.71
Generation: 4300, avg fitness : 21.73
Generation: 4400, avg fitness : 21.78
Generation: 4500, avg fitness : 21.82
Generation: 4600, avg fitness : 21.89
Generation: 4700, avg fitness : 21.94
Generation: 4800, avg fitness : 21.96
Generation: 4900, avg fitness : 21.96
Generation: 5000, avg fitness : 21.98
Generation: 5100, avg fitness : 22.00
Generation: 5200, avg fitness : 22.05
Generation: 5300, avg fitness : 22.05
Generation: 5400, avg fitness : 22.09
Generation: 5500, avg fitness : 22.12
Generation: 5600, avg fitness : 22.15
Generation: 5700, avg fitness : 22.13
Generation: 5800, avg fitness : 22.17
Generation: 5900, avg fitness : 22.22
Generation: 6000, avg fitness : 22.24
Generation: 6100, avg fitness : 22.25
Generation: 6200, avg fitness : 22.27
Generation: 6300, avg fitness : 22.36
Generation: 6400, avg fitness : 22.38
Generation: 6500, avg fitness : 22.38
