(256, 256)
Generation: 0, avg fitness : 9.93
Generation: 100, avg fitness : 12.39
Generation: 200, avg fitness : 12.87
Generation: 300, avg fitness : 13.07
Generation: 400, avg fitness : 13.35
Generation: 500, avg fitness : 13.15
Generation: 600, avg fitness : 13.26
Generation: 700, avg fitness : 13.33
Generation: 800, avg fitness : 13.53
Generation: 900, avg fitness : 13.68
Generation: 1000, avg fitness : 13.95
Generation: 1100, avg fitness : 14.03
Generation: 1200, avg fitness : 14.30
Generation: 1300, avg fitness : 14.49
Generation: 1400, avg fitness : 14.70
Generation: 1500, avg fitness : 14.89
Generation: 1600, avg fitness : 14.98
Generation: 1700, avg fitness : 14.87
Generation: 1800, avg fitness : 14.91
Generation: 1900, avg fitness : 14.87
Generation: 2000, avg fitness : 14.98
Generation: 2100, avg fitness : 15.02
Generation: 2200, avg fitness : 15.17
Generation: 2300, avg fitness : 15.27
Generation: 2400, avg fitness : 15.23
Generation: 2500, avg fitness : 15.35
Generation: 2600, avg fitness : 15.20
Generation: 2700, avg fitness : 15.20
Generation: 2800, avg fitness : 15.02
Generation: 2900, avg fitness : 15.07
Generation: 3000, avg fitness : 15.15
Generation: 3100, avg fitness : 15.22
Generation: 3200, avg fitness : 15.39
Generation: 3300, avg fitness : 15.59
Generation: 3400, avg fitness : 15.76
Generation: 3500, avg fitness : 15.88
Generation: 3600, avg fitness : 15.98
Generation: 3700, avg fitness : 16.14
Generation: 3800, avg fitness : 16.25
Generation: 3900, avg fitness : 16.35
Generation: 4000, avg fitness : 16.42
Generation: 4100, avg fitness : 16.57
Generation: 4200, avg fitness : 16.62
Generation: 4300, avg fitness : 16.72
Generation: 4400, avg fitness : 16.82
Generation: 4500, avg fitness : 17.04
Generation: 4600, avg fitness : 17.16
Generation: 4700, avg fitness : 17.23
Generation: 4800, avg fitness : 17.24
Generation: 4900, avg fitness : 17.39
Generation: 5000, avg fitness : 17.45
Generation: 5100, avg fitness : 17.50
Generation: 5200, avg fitness : 17.55
Generation: 5300, avg fitness : 17.64
Generation: 5400, avg fitness : 17.66
Generation: 5500, avg fitness : 17.69
Generation: 5600, avg fitness : 17.73
Generation: 5700, avg fitness : 17.76
Generation: 5800, avg fitness : 17.81
Generation: 5900, avg fitness : 17.82
Generation: 6000, avg fitness : 17.86
Generation: 6100, avg fitness : 17.96
Generation: 6200, avg fitness : 18.00
Generation: 6300, avg fitness : 18.11
Generation: 6400, avg fitness : 18.13
Generation: 6500, avg fitness : 18.17
Generation: 6600, avg fitness : 18.19
Generation: 6700, avg fitness : 18.23
Generation: 6800, avg fitness : 18.21
Generation: 6900, avg fitness : 18.27
Generation: 7000, avg fitness : 18.31
Generation: 7100, avg fitness : 18.37
Generation: 7200, avg fitness : 18.38
Generation: 7300, avg fitness : 18.40
Generation: 7400, avg fitness : 18.46
Generation: 7500, avg fitness : 18.53
Generation: 7600, avg fitness : 18.55
Generation: 7700, avg fitness : 18.56
Generation: 7800, avg fitness : 18.57
Generation: 7900, avg fitness : 18.71
