(256, 256)
Generation: 0, avg fitness : 9.14
Generation: 100, avg fitness : 12.00
Generation: 200, avg fitness : 12.27
Generation: 300, avg fitness : 12.37
Generation: 400, avg fitness : 12.62
Generation: 500, avg fitness : 12.90
Generation: 600, avg fitness : 13.02
Generation: 700, avg fitness : 13.33
Generation: 800, avg fitness : 13.43
Generation: 900, avg fitness : 13.63
Generation: 1000, avg fitness : 13.71
Generation: 1100, avg fitness : 13.78
Generation: 1200, avg fitness : 13.96
Generation: 1300, avg fitness : 14.03
Generation: 1400, avg fitness : 14.24
Generation: 1500, avg fitness : 14.42
Generation: 1600, avg fitness : 14.51
Generation: 1700, avg fitness : 14.58
Generation: 1800, avg fitness : 14.72
Generation: 1900, avg fitness : 14.68
Generation: 2000, avg fitness : 14.60
Generation: 2100, avg fitness : 14.54
Generation: 2200, avg fitness : 14.70
Generation: 2300, avg fitness : 14.89
Generation: 2400, avg fitness : 14.85
Generation: 2500, avg fitness : 14.94
Generation: 2600, avg fitness : 15.03
Generation: 2700, avg fitness : 15.24
Generation: 2800, avg fitness : 15.18
Generation: 2900, avg fitness : 15.22
Generation: 3000, avg fitness : 15.19
Generation: 3100, avg fitness : 15.44
Generation: 3200, avg fitness : 15.59
Generation: 3300, avg fitness : 15.84
Generation: 3400, avg fitness : 15.91
Generation: 3500, avg fitness : 15.92
Generation: 3600, avg fitness : 16.01
Generation: 3700, avg fitness : 16.18
Generation: 3800, avg fitness : 16.41
Generation: 3900, avg fitness : 16.52
Generation: 4000, avg fitness : 16.49
Generation: 4100, avg fitness : 16.61
Generation: 4200, avg fitness : 16.79
Generation: 4300, avg fitness : 16.94
Generation: 4400, avg fitness : 17.01
Generation: 4500, avg fitness : 17.05
Generation: 4600, avg fitness : 17.13
Generation: 4700, avg fitness : 17.16
Generation: 4800, avg fitness : 17.43
Generation: 4900, avg fitness : 17.53
Generation: 5000, avg fitness : 17.56
Generation: 5100, avg fitness : 17.61
Generation: 5200, avg fitness : 17.61
Generation: 5300, avg fitness : 17.64
Generation: 5400, avg fitness : 17.76
Generation: 5500, avg fitness : 17.78
Generation: 5600, avg fitness : 17.89
Generation: 5700, avg fitness : 17.98
Generation: 5800, avg fitness : 17.99
Generation: 5900, avg fitness : 18.06
Generation: 6000, avg fitness : 18.13
Generation: 6100, avg fitness : 18.18
Generation: 6200, avg fitness : 18.19
Generation: 6300, avg fitness : 18.20
Generation: 6400, avg fitness : 18.29
Generation: 6500, avg fitness : 18.36
Generation: 6600, avg fitness : 18.42
Generation: 6700, avg fitness : 18.49
Generation: 6800, avg fitness : 18.53
Generation: 6900, avg fitness : 18.55
Generation: 7000, avg fitness : 18.62
Generation: 7100, avg fitness : 18.74
Generation: 7200, avg fitness : 18.77
Generation: 7300, avg fitness : 18.81
Generation: 7400, avg fitness : 18.79
Generation: 7500, avg fitness : 18.82
Generation: 7600, avg fitness : 18.91
Generation: 7700, avg fitness : 18.94
Generation: 7800, avg fitness : 18.95
Generation: 7900, avg fitness : 19.08
Generation: 8000, avg fitness : 19.23
Generation: 8100, avg fitness : 19.26
Generation: 8200, avg fitness : 19.33
Generation: 8300, avg fitness : 19.36
Generation: 8400, avg fitness : 19.42
Generation: 8500, avg fitness : 19.42
Generation: 8600, avg fitness : 19.54
Generation: 8700, avg fitness : 19.52
Generation: 8800, avg fitness : 19.56
Generation: 8900, avg fitness : 19.55
Generation: 9000, avg fitness : 19.60
Generation: 9100, avg fitness : 19.57
Generation: 9200, avg fitness : 19.62
Generation: 9300, avg fitness : 19.64
Generation: 9400, avg fitness : 19.65
Generation: 9500, avg fitness : 19.72
Generation: 9600, avg fitness : 19.72
Generation: 9700, avg fitness : 19.79
Generation: 9800, avg fitness : 19.79
Generation: 9900, avg fitness : 19.81
Generation: 10000, avg fitness : 19.78
Generation: 10100, avg fitness : 19.84
Generation: 10200, avg fitness : 19.86
Generation: 10300, avg fitness : 19.86
Generation: 10400, avg fitness : 19.86
Generation: 10500, avg fitness : 19.88
Generation: 10600, avg fitness : 19.91
Generation: 10700, avg fitness : 19.90
