(256, 256)
Generation: 0, avg fitness : 9.83
Generation: 100, avg fitness : 16.64
Generation: 200, avg fitness : 16.85
Generation: 300, avg fitness : 17.10
Generation: 400, avg fitness : 17.31
Generation: 500, avg fitness : 17.45
Generation: 600, avg fitness : 17.57
Generation: 700, avg fitness : 17.74
Generation: 800, avg fitness : 17.89
Generation: 900, avg fitness : 18.04
Generation: 1000, avg fitness : 18.11
Generation: 1100, avg fitness : 18.23
Generation: 1200, avg fitness : 18.33
Generation: 1300, avg fitness : 18.51
Generation: 1400, avg fitness : 18.70
Generation: 1500, avg fitness : 18.75
Generation: 1600, avg fitness : 18.81
Generation: 1700, avg fitness : 18.90
Generation: 1800, avg fitness : 18.98
Generation: 1900, avg fitness : 19.06
Generation: 2000, avg fitness : 19.13
Generation: 2100, avg fitness : 19.20
Generation: 2200, avg fitness : 19.30
Generation: 2300, avg fitness : 19.33
Generation: 2400, avg fitness : 19.38
Generation: 2500, avg fitness : 19.51
Generation: 2600, avg fitness : 19.61
Generation: 2700, avg fitness : 19.66
Generation: 2800, avg fitness : 19.78
Generation: 2900, avg fitness : 19.82
Generation: 3000, avg fitness : 19.86
Generation: 3100, avg fitness : 19.97
Generation: 3200, avg fitness : 20.03
Generation: 3300, avg fitness : 20.10
Generation: 3400, avg fitness : 20.19
Generation: 3500, avg fitness : 20.24
Generation: 3600, avg fitness : 20.33
Generation: 3700, avg fitness : 20.38
Generation: 3800, avg fitness : 20.50
Generation: 3900, avg fitness : 20.53
Generation: 4000, avg fitness : 20.57
Generation: 4100, avg fitness : 20.63
Generation: 4200, avg fitness : 20.64
Generation: 4300, avg fitness : 20.77
Generation: 4400, avg fitness : 20.82
Generation: 4500, avg fitness : 20.89
Generation: 4600, avg fitness : 20.92
Generation: 4700, avg fitness : 20.93
Generation: 4800, avg fitness : 20.96
Generation: 4900, avg fitness : 21.00
Generation: 5000, avg fitness : 21.02
Generation: 5100, avg fitness : 21.06
Generation: 5200, avg fitness : 21.07
Generation: 5300, avg fitness : 21.09
Generation: 5400, avg fitness : 21.10
Generation: 5500, avg fitness : 21.13
Generation: 5600, avg fitness : 21.16
Generation: 5700, avg fitness : 21.22
Generation: 5800, avg fitness : 21.29
Generation: 5900, avg fitness : 21.34
Generation: 6000, avg fitness : 21.36
Generation: 6100, avg fitness : 21.45
Generation: 6200, avg fitness : 21.45
Generation: 6300, avg fitness : 21.50
Generation: 6400, avg fitness : 21.56
Generation: 6500, avg fitness : 21.59
Generation: 6600, avg fitness : 21.61
Generation: 6700, avg fitness : 21.66
Generation: 6800, avg fitness : 21.70
Generation: 6900, avg fitness : 21.72
Generation: 7000, avg fitness : 21.74
Generation: 7100, avg fitness : 21.77
Generation: 7200, avg fitness : 21.84
Generation: 7300, avg fitness : 21.86
Generation: 7400, avg fitness : 21.86
Generation: 7500, avg fitness : 21.88
Generation: 7600, avg fitness : 21.84
Generation: 7700, avg fitness : 21.92
Generation: 7800, avg fitness : 21.97
Generation: 7900, avg fitness : 22.02
Generation: 8000, avg fitness : 22.05
Generation: 8100, avg fitness : 22.11
Generation: 8200, avg fitness : 22.10
Generation: 8300, avg fitness : 22.14
Generation: 8400, avg fitness : 22.19
Generation: 8500, avg fitness : 22.22
Generation: 8600, avg fitness : 22.24
Generation: 8700, avg fitness : 22.35
Generation: 8800, avg fitness : 22.35
Generation: 8900, avg fitness : 22.34
Generation: 9000, avg fitness : 22.36
Generation: 9100, avg fitness : 22.37
Generation: 9200, avg fitness : 22.42
Generation: 9300, avg fitness : 22.45
Generation: 9400, avg fitness : 22.46
Generation: 9500, avg fitness : 22.45
Generation: 9600, avg fitness : 22.48
Generation: 9700, avg fitness : 22.51
Generation: 9800, avg fitness : 22.51
Generation: 9900, avg fitness : 22.53
Generation: 10000, avg fitness : 22.54
Generation: 10100, avg fitness : 22.56
Generation: 10200, avg fitness : 22.62
Generation: 10300, avg fitness : 22.64
Generation: 10400, avg fitness : 22.64
Generation: 10500, avg fitness : 22.67
Generation: 10600, avg fitness : 22.70
Generation: 10700, avg fitness : 22.72
Generation: 10800, avg fitness : 22.76
Generation: 10900, avg fitness : 22.78
Generation: 11000, avg fitness : 22.83
Generation: 11100, avg fitness : 22.83
Generation: 11200, avg fitness : 22.86
Generation: 11300, avg fitness : 22.90
Generation: 11400, avg fitness : 22.95
