(256, 256)
Generation: 0, avg fitness : 9.46
Generation: 100, avg fitness : 11.10
Generation: 200, avg fitness : 11.20
Generation: 300, avg fitness : 11.33
Generation: 400, avg fitness : 11.38
Generation: 500, avg fitness : 11.51
Generation: 600, avg fitness : 11.61
Generation: 700, avg fitness : 11.75
Generation: 800, avg fitness : 11.84
Generation: 900, avg fitness : 11.95
Generation: 1000, avg fitness : 12.06
Generation: 1100, avg fitness : 12.14
Generation: 1200, avg fitness : 12.26
Generation: 1300, avg fitness : 12.33
Generation: 1400, avg fitness : 12.40
Generation: 1500, avg fitness : 12.46
Generation: 1600, avg fitness : 12.55
Generation: 1700, avg fitness : 12.62
Generation: 1800, avg fitness : 12.69
Generation: 1900, avg fitness : 12.79
Generation: 2000, avg fitness : 12.86
Generation: 2100, avg fitness : 12.90
Generation: 2200, avg fitness : 12.98
Generation: 2300, avg fitness : 13.03
Generation: 2400, avg fitness : 13.12
Generation: 2500, avg fitness : 13.20
Generation: 2600, avg fitness : 13.22
Generation: 2700, avg fitness : 13.29
Generation: 2800, avg fitness : 13.32
Generation: 2900, avg fitness : 13.33
Generation: 3000, avg fitness : 13.38
Generation: 3100, avg fitness : 13.53
Generation: 3200, avg fitness : 13.63
Generation: 3300, avg fitness : 13.73
Generation: 3400, avg fitness : 13.87
Generation: 3500, avg fitness : 13.93
Generation: 3600, avg fitness : 14.00
Generation: 3700, avg fitness : 14.05
Generation: 3800, avg fitness : 14.15
Generation: 3900, avg fitness : 14.22
Generation: 4000, avg fitness : 14.25
Generation: 4100, avg fitness : 14.29
Generation: 4200, avg fitness : 14.37
Generation: 4300, avg fitness : 14.44
Generation: 4400, avg fitness : 14.57
Generation: 4500, avg fitness : 14.62
Generation: 4600, avg fitness : 14.70
Generation: 4700, avg fitness : 14.75
Generation: 4800, avg fitness : 14.77
Generation: 4900, avg fitness : 14.83
Generation: 5000, avg fitness : 14.92
Generation: 5100, avg fitness : 15.01
Generation: 5200, avg fitness : 15.08
Generation: 5300, avg fitness : 15.19
Generation: 5400, avg fitness : 15.28
Generation: 5500, avg fitness : 15.34
Generation: 5600, avg fitness : 15.40
Generation: 5700, avg fitness : 15.47
Generation: 5800, avg fitness : 15.55
Generation: 5900, avg fitness : 15.63
Generation: 6000, avg fitness : 15.76
Generation: 6100, avg fitness : 15.83
Generation: 6200, avg fitness : 15.90
Generation: 6300, avg fitness : 15.93
Generation: 6400, avg fitness : 16.01
Generation: 6500, avg fitness : 16.03
Generation: 6600, avg fitness : 16.08
Generation: 6700, avg fitness : 16.11
Generation: 6800, avg fitness : 16.17
Generation: 6900, avg fitness : 16.31
Generation: 7000, avg fitness : 16.33
Generation: 7100, avg fitness : 16.39
Generation: 7200, avg fitness : 16.41
Generation: 7300, avg fitness : 16.46
Generation: 7400, avg fitness : 16.52
Generation: 7500, avg fitness : 16.58
Generation: 7600, avg fitness : 16.61
Generation: 7700, avg fitness : 16.66
